OBCINA,category,deals_count,avg_price_m2,median_price_m2
AJDOVŠČINA,apartment,28,2330.7395423424564,2262.951493045961
ANKARAN,apartment,11,4456.286597574994,4416.961130742049
APAČE,apartment,3,1039.8799086030076,926.829268292683
BENEDIKT,apartment,5,1770.3894384967548,1639.344262295082
BLED,apartment,16,3528.724794840359,3376.677625348378
BLOKE,apartment,1,743.3920704845815,743.3920704845815
BOHINJ,apartment,7,3628.308744588642,3941.176470588235
BOROVNICA,apartment,4,3519.6040941251017,3653.1502767134953
BOVEC,apartment,10,3410.090265110272,2915.429917550059
BRASLOVČE,apartment,1,1805.0541516245487,1805.0541516245487
BRDA,apartment,3,1843.2118707686634,1793.8144329896907
BREZOVICA,apartment,1,582.2380952380952,582.2380952380952
BREŽICE,apartment,19,2142.173300372325,2094.2408376963353
CELJE,apartment,269,2207.644306065913,2314.990512333966
CERKLJE NA GORENJSKEM,apartment,9,3251.1199945923663,3098.1067125645436
CERKNICA,apartment,10,1774.1887128362173,1824.9354005167957
CERKNO,apartment,3,1600.8429065105145,1491.5693904020754
CERKVENJAK,apartment,26,2083.942876850372,2072.5318471337578
DIVAČA,apartment,9,1625.734148875968,1336.8983957219252
DOBREPOLJE,apartment,2,1875.7159925069695,1875.7159925069695
DOBRNA,apartment,7,1907.1682273180943,1848.4288354898335
DOL PRI LJUBLJANI,apartment,5,2736.288619797556,2992.1259842519685
DOLENJSKE TOPLICE,apartment,3,2316.040695480113,2247.191011235955
DOMŽALE,apartment,66,3099.4613589419955,3299.109252364118
DOMŽALE,house,1,4576.8566493955095,4576.8566493955095
DRAVOGRAD,apartment,23,1258.1775076177282,1308.089500860585
DUPLEK,apartment,4,1767.6702873164877,1586.318470273881
GORENJA VAS-POLJANE,apartment,1,2399.4589459084605,2399.4589459084605
GORJE,apartment,2,991.1185293937042,991.1185293937042
GORNJA RADGONA,apartment,28,1281.1066039259074,1261.5313653136532
GORNJI GRAD,apartment,1,1074.5179063360883,1074.5179063360883
GORNJI PETROVCI,apartment,1,752.6881720430107,752.6881720430107
GROSUPLJE,apartment,37,2686.717058188677,2495.54367201426
HAJDINA,apartment,1,608.2589285714286,608.2589285714286
HOČE-SLIVNICA,apartment,12,2185.524366953058,2368.820844491604
HOČE-SLIVNICA,house,1,1918.4331950207468,1918.4331950207468
HRASTNIK,apartment,50,1097.488698012146,1213.5177011926003
HRPELJE-KOZINA,apartment,2,3243.1451612903224,3243.1451612903224
IDRIJA,apartment,36,1400.2638274804638,1461.7509683299158
IG,apartment,7,3193.5466095619304,3320.4134366925064
ILIRSKA BISTRICA,apartment,10,1298.0143905463224,1340.7389938860674
ILIRSKA BISTRICA,house,1,270.4530087897228,270.4530087897228
IVANČNA GORICA,apartment,10,3070.759261306198,2725.038758743606
IVANČNA GORICA,house,6,2974.1051025451816,3235.461710178858
IZOLA,apartment,76,4021.8241942148697,3983.241670918129
JESENICE,apartment,112,2175.7380288290983,2230.7232429279675
