OBCINA,deals_count,avg_rent_m2,median_rent_m2
AJDOVŠČINA,224,4.716416869182734,4.0
ANKARAN,50,7.313659090377152,7.240198476483332
APAČE,12,4.0375381917198245,3.8178115743905225
BELTINCI,16,3.923912398747133,3.1666666666666665
BENEDIKT,34,4.305974270566462,3.262180450409507
BISTRICA OB SOTLI,3,2.738822213396937,2.4989587671803415
BLED,82,7.40601758860837,6.427509907529723
BLOKE,4,5.557557951626917,3.336940836940837
BOHINJ,33,5.586114445800972,4.761904761904762
BOROVNICA,40,28.7491016627274,4.600657740192624
BOVEC,29,6.260341153937957,5.082592121982211
BRASLOVČE,7,3.9569311394527857,3.9215686274509802
BRDA,11,3.9360465148282073,3.076923076923077
BREZOVICA,71,6.820803056057924,6.274957216200798
BREŽICE,212,5.829827796241061,4.996006389776358
CANKOVA,2,4.635258358662615,4.635258358662615
CELJE,1139,5.617116467287867,5.116279069767442
CERKLJE NA GORENJSKEM,54,6.794279640925038,6.534042819397525
CERKNICA,98,4.5936556906507375,4.282657428163848
CERKNO,11,4.808064646052913,5.0
CERKVENJAK,6,3.872377622377622,3.484848484848485
CIRKULANE,3,2.581770081770082,1.7857142857142858
DESTRNIK,3,4.048840048840049,4.102564102564102
DIVAČA,45,4.15243396245938,3.5714285714285716
DOBJE,1,1.875,1.875
DOBREPOLJE,37,6.16829265232077,4.25
DOBRNA,17,5.147284489423012,3.9305555555555554
DOBROVA-POLHOV GRADEC,39,5.981128510689566,5.7512580877066855
DOL PRI LJUBLJANI,39,6.205502814746237,4.285714285714286
DOLENJSKE TOPLICE,29,3.798363475477372,3.4285714285714284
DOMŽALE,541,7.411902166268257,6.726457399103139
DORNAVA,11,3.8463058371086802,3.45
DRAVOGRAD,48,4.650951612952429,3.6939571150097468
DUPLEK,16,4.243354351121204,3.75
GORENJA VAS-POLJANE,23,3.589089812304991,2.5806451612903225
GORIŠNICA,8,3.10461901006082,2.045977011494253
GORJE,22,5.58199225551624,4.404342723004694
GORNJA RADGONA,110,5.334749903440169,5.552341167009203
GORNJI GRAD,5,2.4546147688571622,1.8181818181818181
GROSUPLJE,309,6.070566411168429,5.128205128205129
HAJDINA,5,2.1259641215818688,1.1481911262798636
HORJUL,6,5.880948262132669,5.846153846153847
HOČE-SLIVNICA,69,6.182641321461066,4.49438202247191
HRASTNIK,112,3.674758344146457,3.702521362180225
HRPELJE-KOZINA,77,6.296702049172196,5.057803468208093
IDRIJA,177,3.6486225320725443,2.986857825567503
IG,53,6.817094291946247,5.416666666666667
ILIRSKA BISTRICA,606,3.510083256026741,3.4527170027170024
IVANČNA GORICA,120,4.654029756926522,3.5714285714285716
IZOLA,379,7.398353445187339,6.666666666666667
JESENICE,518,6.958099820968642,3.7037037037037037
JEZERSKO,4,2.7290083169947805,2.4691358024691357
JURŠINCI,7,6.331859410430839,6.666666666666667
KAMNIK,393,5.975252819525437,5.357142857142857
KANAL,23,3.578863629585417,3.061224489795918
KIDRIČEVO,27,4.758457493713785,5.294117647058823
KOBARID,17,3.3924340755499958,2.5
KOBILJE,4,3.4821428571428568,3.4693877551020407
KOMEN,17,6.410173046658385,7.142857142857143
KOMENDA,52,5.668994558237033,5.0
KOPER,1040,2149.263409258078,6.122448979591836
KOSTANJEVICA NA KRKI,8,3.5403044845393983,2.361111111111111
KOSTEL,1,1.6666666666666667,1.6666666666666667
KOZJE,1,2.24618149146451,2.24618149146451
KOČEVJE,282,4.927535401562542,4.761904761904762
KRANJ,985,5.964880975998413,5.147058823529412
KRANJSKA GORA,23,7.601697778942315,6.25
KRIŽEVCI,3,4.072964231354643,2.73972602739726
KRŠKO,228,3.811030912966588,3.4895659233083425
KUNGOTA,14,7.2768763049457545,5.571428571428571
LAŠKO,101,4.945491442639908,4.285714285714286
LENART,100,5.325508946229047,5.154832168476723
LENDAVA,85,4.862717377099575,4.311961004874391
LITIJA,197,4.196085537843321,3.401360544217687
LJUBLJANA,10032,9.915870553989965,9.0
LJUBNO,7,3.4736282460253407,3.0952380952380953
LJUTOMER,65,4.567067601622404,3.778337531486146
LOG-DRAGOMER,11,9.1047558920156,4.5
LOGATEC,222,6.163900996700806,5.336569579288026
LOVRENC NA POHORJU,5,2.8191695310339377,3.0
LOŠKA DOLINA,9,3.1980342458832367,2.5
LUKOVICA,46,12.310213046682964,2.3728813559322033
LUČE,2,4.901960784313726,4.901960784313726
MAJŠPERK,15,2.548587151541603,2.0
MAKOLE,1,1.4285714285714286,1.4285714285714286
MARIBOR,3121,6.313935888761905,5.813953488372093
MARKOVCI,6,3.098904662215316,2.857142857142857
MEDVODE,146,6.782162215253163,5.555505050505051
MENGEŠ,128,6.78101610502519,6.666666666666667
METLIKA,62,2.9362466510963987,2.712274064733081
MEŽICA,241,4.765341323852999,4.63258785942492
MIKLAVŽ NA DRAVSKEM POLJU,20,5.391395233601914,4.944444444444445
MIREN-KOSTANJEVICA,26,5.37478701321441,4.348844015218027
MIRNA,35,4.4802717892257915,4.3035279805352795
MIRNA PEČ,10,3.869510065750025,3.75
MISLINJA,8,3.5311019322785935,2.4038461538461537
MOKRONOG-TREBELNO,13,2.2427427036233327,1.550387596899225
MORAVSKE TOPLICE,12,5.022497634821108,5.665174742968366
MORAVČE,14,5.451228265051336,4.7233554309026005
MOZIRJE,21,4.110889061302031,3.949447077409163
MURSKA SOBOTA,330,4.870853068317328,4.605486425339366
MUTA,57,5.090685665733498,5.69811320754717
NAKLO,16,3.585578273328842,2.3076923076923075
NAZARJE,8,6.745780220567546,5.884912959381044
NOVA GORICA,798,5.244836844510621,4.545454545454546
NOVO MESTO,924,5.830111103602582,5.182247403210576
OPLOTNICA,14,3.6376368844675637,2.5315126050420167
ORMOŽ,36,3.7391345422326694,3.8322025435427496
OSILNICA,1,5.0,5.0
PESNICA,23,5.279178329482168,4.230769230769231
PIRAN,287,8.502259533229806,8.0
PIVKA,58,3.5605589255147483,2.8
PODLEHNIK,1,3.4482758620689653,3.4482758620689653
PODVELKA,8,3.1350745302109204,3.175458074473027
PODČETRTEK,12,3.37509423235034,2.9921875
POLJČANE,14,4.3652144240717226,4.4968704862782864
POLZELA,15,5.465079909347084,5.416666666666667
POSTOJNA,262,8.830624932247126,4.464285714285714
PREBOLD,64,4.870194744259246,4.454365079365079
PREDDVOR,20,4.649840574575817,5.0
PREVALJE,63,4.313546090417935,3.5714285714285716
PTUJ,407,5.388212954877062,5.0
PUCONCI,2,2.6041666666666665,2.6041666666666665
RADENCI,45,3.811440312357125,3.2142857142857144
RADEČE,30,2.86879223550857,2.5
RADLJE OB DRAVI,107,2.832185736731755,2.142857142857143
RADOVLJICA,273,6.660679855518491,6.031746031746032
RAVNE NA KOROŠKEM,183,4.302770480946477,3.870967741935484
RAZKRIŽJE,4,2.200150085763293,1.320754716981132
RAČE-FRAM,22,5.486812486325536,5.422297297297297
RENČE-VOGRSKO,17,2.1100637711114643,2.3076923076923075
REČICA OB SAVINJI,6,2.759732074283942,2.6200135226504395
RIBNICA,75,3.944974922693337,3.676470588235294
RIBNICA NA POHORJU,7,3.5872595234158466,3.4722222222222223
ROGATEC,3,3.777777777777778,3.6363636363636362
ROGAŠKA SLATINA,83,3.6851454244970996,3.3333333333333335
ROGAŠOVCI,1,0.8503401360544218,0.8503401360544218
RUŠE,71,4.9155936210006335,4.545454545454546
SELNICA OB DRAVI,4,5.436639384007805,5.18341307814992
SEMIČ,19,3.761794573069998,3.125
SEVNICA,121,3.694110842067355,3.2
SEŽANA,284,6.17714298150101,5.0
SLOVENJ GRADEC,258,4.4807813315004505,4.2242714496777465
SLOVENSKA BISTRICA,176,4.966910121232126,4.666666666666667
SLOVENSKE KONJICE,196,3.6786482910343756,3.3333333333333335
SODRAŽICA,4,3.3824862038919545,2.937699680511182
SOLČAVA,1,9.523809523809524,9.523809523809524
SREDIŠČE OB DRAVI,2,2.1560693641618496,2.1560693641618496
STARŠE,3,3.871727540383544,4.0
STRAŽA,32,5.056286879455956,4.471563981042654
SVETA ANA,4,5.249508713503315,5.27025925707199
SVETA TROJICA V SLOVENSKIH GORICAH,4,2.3333333333333335,2.3333333333333335
SVETI JURIJ OB ŠČAVNICI,5,2.1711367595818816,1.8
SVETI TOMAŽ,1,1.6464293064416546,1.6464293064416546
TABOR,2,7.916666666666667,7.916666666666667
TIŠINA,3,8.5,8.5
TOLMIN,83,4.026255021562565,3.6231884057971016
TRBOVLJE,449,3.925250449339308,3.6338896952104505
TREBNJE,192,4.553451082743725,4.083333333333334
TRNOVSKA VAS,1,1.7857142857142858,1.7857142857142858
TRZIN,45,8.973429794846304,8.333333333333334
TRŽIČ,200,5.209777722486348,4.716855207394801
TURNIŠČE,4,4.854224910615045,4.76827888105915
VELENJE,750,4.380021748074393,2.6212364815654587
VELIKE LAŠČE,8,4.893457665627153,4.290876242095754
VERŽEJ,9,4.847309165539501,5.0
VIDEM,12,3.583353583626954,3.447792869269949
VIPAVA,55,4.675714643081364,3.076923076923077
VITANJE,15,2.641484604949222,2.0
VODICE,18,4.626314057669924,5.208333333333333
VOJNIK,32,4.928719886581815,4.614814814814815
VRANSKO,11,5.918947937918606,7.017543859649122
VRHNIKA,210,6.185383161967599,5.325298357556422
VUZENICA,12,3.6288261636612003,2.9169338715153343
ZAGORJE OB SAVI,157,4.147843049384862,3.7037037037037037
ZREČE,64,4.618408921735508,4.066115702479339
ČRENŠOVCI,2,1.4807821804402075,1.4807821804402075
ČRNA NA KOROŠKEM,136,4.287666936609078,3.9183708551927876
ČRNOMELJ,71,3.4182040021274482,3.114186851211073
ŠEMPETER-VRTOJBA,93,4.834712446057717,4.166666666666667
ŠENTILJ,24,4.3051307803136405,3.3647629310344827
ŠENTJERNEJ,35,4.4187166586719755,3.320788133717069
ŠENTJUR,106,4.812638590513727,3.8762019230769234
ŠENTRUPERT,19,5.269446856461696,5.059523809523809
ŠENČUR,61,4.82261292207659,4.909090909090909
ŠKOCJAN,6,2.314928845101259,2.0043103448275863
ŠKOFJA LOKA,316,5.578299003412752,5.0
ŠKOFLJICA,127,6.660306775128383,6.153846153846154
ŠMARJE PRI JELŠAH,38,3.9654529621469115,3.65649336404519
ŠMARJEŠKE TOPLICE,34,5.800905634490655,6.17361835245047
ŠMARTNO OB PAKI,8,4.451099943863964,4.5
ŠMARTNO PRI LITIJI,18,3.7616846169562583,2.830188679245283
ŠOŠTANJ,96,3.6235054861865357,2.5
ŠTORE,57,4.298004692116197,3.8823529411764706
ŽALEC,156,5.078606028314345,4.423624288425048
ŽELEZNIKI,42,4.054663098260777,3.419876292946619
ŽIRI,19,3.6610105645512814,3.3333333333333335
ŽIROVNICA,25,4.180272045498398,4.0
ŽUŽEMBERK,9,3.7344986793772046,2.912621359223301
